time,ueId,lcId,tpt,gfbr,mfbr
1,1,4,0.00000,2400.00,3200.00
1,1,5,0.00000,2400.00,3200.00
1,1,6,0.00000,2400.00,3200.00
1,1,7,0.00000,2400.00,3200.00
2,1,4,0.00000,2400.00,3200.00
2,1,5,0.00000,2400.00,3200.00
2,1,6,0.00000,2400.00,3200.00
2,1,7,0.00000,2400.00,3200.00
3,1,4,0.00000,2400.00,3200.00
3,1,5,110.80800,2400.00,3200.00
3,1,6,214.68000,2400.00,3200.00
3,1,7,0.00000,2400.00,3200.00
4,1,4,0.00000,2400.00,3200.00
4,1,5,1218.93600,2400.00,3200.00
4,1,6,2350.13600,2400.00,3200.00
4,1,7,0.00000,2400.00,3200.00
5,1,4,0.00000,2400.00,3200.00
5,1,5,1250.67200,2400.00,3200.00
5,1,6,2355.32000,2400.00,3200.00
5,1,7,0.00000,2400.00,3200.00
6,1,4,0.00000,2400.00,3200.00
6,1,5,1248.55200,2400.00,3200.00
6,1,6,2357.71200,2400.00,3200.00
6,1,7,0.00000,2400.00,3200.00
7,1,4,0.00000,2400.00,3200.00
7,1,5,1339.21600,2400.00,3200.00
7,1,6,2271.24000,2400.00,3200.00
7,1,7,0.00000,2400.00,3200.00
8,1,4,0.00000,2400.00,3200.00
8,1,5,1290.41600,2400.00,3200.00
8,1,6,2315.86400,2400.00,3200.00
8,1,7,0.00000,2400.00,3200.00
9,1,4,0.00000,2400.00,3200.00
9,1,5,1280.34400,2400.00,3200.00
9,1,6,2318.21600,2400.00,3200.00
9,1,7,0.00000,2400.00,3200.00
10,1,4,0.00000,2400.00,3200.00
10,1,5,1319.50400,2400.00,3200.00
10,1,6,2290.98400,2400.00,3200.00
10,1,7,0.00000,2400.00,3200.00
11,1,4,0.00000,2400.00,3200.00
11,1,5,1320.27200,2400.00,3200.00
11,1,6,2286.28000,2400.00,3200.00
11,1,7,0.00000,2400.00,3200.00
12,1,4,0.00000,2400.00,3200.00
12,1,5,1330.58400,2400.00,3200.00
12,1,6,2261.37600,2400.00,3200.00
12,1,7,0.00000,2400.00,3200.00
13,1,4,0.00000,2400.00,3200.00
13,1,5,1306.72000,2400.00,3200.00
13,1,6,2288.57600,2400.00,3200.00
13,1,7,0.00000,2400.00,3200.00
14,1,4,0.00000,2400.00,3200.00
14,1,5,1310.25600,2400.00,3200.00
14,1,6,2288.60000,2400.00,3200.00
14,1,7,0.00000,2400.00,3200.00
15,1,4,0.00000,2400.00,3200.00
15,1,5,1285.43200,2400.00,3200.00
15,1,6,2306.04800,2400.00,3200.00
15,1,7,0.00000,2400.00,3200.00
16,1,4,0.00000,2400.00,3200.00
16,1,5,1291.81600,2400.00,3200.00
16,1,6,2318.18400,2400.00,3200.00
16,1,7,0.00000,2400.00,3200.00
17,1,4,0.00000,2400.00,3200.00
17,1,5,1208.30400,2400.00,3200.00
17,1,6,2330.38400,2400.00,3200.00
17,1,7,0.00000,2400.00,3200.00
18,1,4,0.00000,2400.00,3200.00
18,1,5,1276.77600,2400.00,3200.00
18,1,6,2318.17600,2400.00,3200.00
18,1,7,0.00000,2400.00,3200.00
19,1,4,160.34400,2400.00,3200.00
19,1,5,1311.72800,2400.00,3200.00
19,1,6,2120.94400,2400.00,3200.00
19,1,7,0.00000,2400.00,3200.00
20,1,4,37.04000,2400.00,3200.00
20,1,5,0.00000,2400.00,3200.00
20,1,6,0.00000,2400.00,3200.00
20,1,7,197.49600,2400.00,3200.00
21,1,4,0.00000,2400.00,3200.00
21,1,5,0.00000,2400.00,3200.00
21,1,6,0.00000,2400.00,3200.00
21,1,7,0.00000,2400.00,3200.00
