time,ueId,lcId,tpt,gfbr,mfbr
1,1,4,0.00000,900.00,2400.00
1,1,5,0.00000,900.00,2400.00
1,1,6,0.00000,900.00,2400.00
1,1,7,0.00000,900.00,2400.00
2,1,4,0.00000,900.00,2400.00
2,1,5,0.00000,900.00,2400.00
2,1,6,0.00000,900.00,2400.00
2,1,7,0.00000,900.00,2400.00
3,1,4,0.00000,900.00,2400.00
3,1,5,0.00000,900.00,2400.00
3,1,6,0.00000,900.00,2400.00
3,1,7,0.00000,900.00,2400.00
4,1,4,0.00000,900.00,2400.00
4,1,5,0.00000,900.00,2400.00
4,1,6,0.00000,900.00,2400.00
4,1,7,0.00000,900.00,2400.00
5,1,4,0.00000,900.00,2400.00
5,1,5,0.00000,900.00,2400.00
5,1,6,0.00000,900.00,2400.00
5,1,7,0.00000,900.00,2400.00
6,1,4,0.00000,900.00,2400.00
6,1,5,0.00000,900.00,2400.00
6,1,6,0.00000,900.00,2400.00
6,1,7,0.00000,900.00,2400.00
7,1,4,0.00000,900.00,2400.00
7,1,5,18.96800,900.00,2400.00
7,1,6,409.68000,900.00,2400.00
7,1,7,0.00000,900.00,2400.00
8,1,4,906.13600,900.00,2400.00
8,1,5,906.67200,900.00,2400.00
8,1,6,921.98400,900.00,2400.00
8,1,7,661.72800,900.00,2400.00
9,1,4,900.69600,900.00,2400.00
9,1,5,901.08000,900.00,2400.00
9,1,6,1073.36000,900.00,2400.00
9,1,7,738.47200,900.00,2400.00
10,1,4,905.73600,900.00,2400.00
10,1,5,906.60800,900.00,2400.00
10,1,6,1063.24000,900.00,2400.00
10,1,7,733.36000,900.00,2400.00
11,1,4,900.24800,900.00,2400.00
11,1,5,904.32000,900.00,2400.00
11,1,6,954.65600,900.00,2400.00
11,1,7,758.54400,900.00,2400.00
12,1,4,905.77600,900.00,2400.00
12,1,5,903.69600,900.00,2400.00
12,1,6,1063.10400,900.00,2400.00
12,1,7,740.92800,900.00,2400.00
13,1,4,900.49600,900.00,2400.00
13,1,5,901.20000,900.00,2400.00
13,1,6,943.48800,900.00,2400.00
13,1,7,632.12800,900.00,2400.00
14,1,4,902.03200,900.00,2400.00
14,1,5,906.26400,900.00,2400.00
14,1,6,1061.15200,900.00,2400.00
14,1,7,740.66400,900.00,2400.00
15,1,4,902.16000,900.00,2400.00
15,1,5,901.23200,900.00,2400.00
15,1,6,1078.49600,900.00,2400.00
15,1,7,723.49600,900.00,2400.00
16,1,4,900.30400,900.00,2400.00
16,1,5,903.59200,900.00,2400.00
16,1,6,909.80000,900.00,2400.00
16,1,7,586.83200,900.00,2400.00
17,1,4,905.88800,900.00,2400.00
17,1,5,901.80800,900.00,2400.00
17,1,6,1066.12000,900.00,2400.00
17,1,7,724.72000,900.00,2400.00
18,1,4,900.52800,900.00,2400.00
18,1,5,901.33600,900.00,2400.00
18,1,6,1033.10400,900.00,2400.00
18,1,7,721.20800,900.00,2400.00
19,1,4,905.84800,900.00,2400.00
19,1,5,906.45600,900.00,2400.00
19,1,6,1071.62400,900.00,2400.00
19,1,7,721.10400,900.00,2400.00
20,1,4,900.54400,900.00,2400.00
20,1,5,901.28000,900.00,2400.00
20,1,6,1076.44000,900.00,2400.00
20,1,7,730.98400,900.00,2400.00
21,1,4,905.70400,900.00,2400.00
21,1,5,906.62400,900.00,2400.00
21,1,6,1104.47200,900.00,2400.00
21,1,7,683.93600,900.00,2400.00
22,1,4,900.46400,900.00,2400.00
22,1,5,901.44800,900.00,2400.00
22,1,6,1051.32800,900.00,2400.00
22,1,7,750.92000,900.00,2400.00
23,1,4,799.58400,900.00,2400.00
23,1,5,1106.36800,900.00,2400.00
23,1,6,1101.33600,900.00,2400.00
23,1,7,365.68800,900.00,2400.00
24,1,4,0.00000,900.00,2400.00
24,1,5,0.00000,900.00,2400.00
24,1,6,0.00000,900.00,2400.00
24,1,7,0.00000,900.00,2400.00
25,1,4,0.00000,900.00,2400.00
25,1,5,0.00000,900.00,2400.00
25,1,6,0.00000,900.00,2400.00
25,1,7,0.00000,900.00,2400.00
26,1,4,0.00000,900.00,2400.00
26,1,5,0.00000,900.00,2400.00
26,1,6,0.00000,900.00,2400.00
26,1,7,0.00000,900.00,2400.00
27,1,4,0.00000,900.00,2400.00
27,1,5,0.00000,900.00,2400.00
27,1,6,0.00000,900.00,2400.00
27,1,7,0.00000,900.00,2400.00
