1,1,4,0.00000,80.00,160.00
1,1,5,0.00000,80.00,160.00
1,1,6,0.00000,80.00,160.00
1,1,7,0.00000,,
2,1,4,0.00000,80.00,160.00
2,1,5,0.00000,80.00,160.00
2,1,6,0.00000,80.00,160.00
2,1,7,0.00000,,
3,1,4,0.00000,80.00,160.00
3,1,5,0.00000,80.00,160.00
3,1,6,0.00000,80.00,160.00
3,1,7,0.00000,,
4,1,4,56.60800,80.00,160.00
4,1,5,56.54400,80.00,160.00
4,1,6,56.54400,80.00,160.00
4,1,7,57.32000,,
5,1,4,169.51200,80.00,160.00
5,1,5,169.39200,80.00,160.00
5,1,6,169.37600,80.00,160.00
5,1,7,283.01600,,
6,1,4,154.96800,80.00,160.00
6,1,5,154.85600,80.00,160.00
6,1,6,154.84000,80.00,160.00
6,1,7,290.24000,,
7,1,4,156.80000,80.00,160.00
7,1,5,156.58400,80.00,160.00
7,1,6,156.56800,80.00,160.00
7,1,7,289.72800,,
8,1,4,153.20800,80.00,160.00
8,1,5,153.20000,80.00,160.00
8,1,6,153.04000,80.00,160.00
8,1,7,288.34400,,
9,1,4,155.04800,80.00,160.00
9,1,5,154.99200,80.00,160.00
9,1,6,154.94400,80.00,160.00
9,1,7,290.36800,,
10,1,4,155.04800,80.00,160.00
10,1,5,154.89600,80.00,160.00
10,1,6,154.86400,80.00,160.00
10,1,7,290.17600,,
11,1,4,154.97600,80.00,160.00
11,1,5,154.87200,80.00,160.00
11,1,6,154.85600,80.00,160.00
11,1,7,290.08800,,
12,1,4,154.96800,80.00,160.00
12,1,5,154.96000,80.00,160.00
12,1,6,154.84000,80.00,160.00
12,1,7,291.80000,,
13,1,4,153.15200,80.00,160.00
13,1,5,153.08800,80.00,160.00
13,1,6,153.03200,80.00,160.00
13,1,7,288.25600,,
14,1,4,154.95200,80.00,160.00
14,1,5,154.92800,80.00,160.00
14,1,6,154.84000,80.00,160.00
14,1,7,288.40000,,
15,1,4,156.72800,80.00,160.00
15,1,5,151.75200,80.00,160.00
15,1,6,156.51200,80.00,160.00
15,1,7,278.80000,,
16,1,4,127.68800,80.00,160.00
16,1,5,132.48800,80.00,160.00
16,1,6,127.63200,80.00,160.00
16,1,7,216.91200,,
17,1,4,0.00000,80.00,160.00
17,1,5,0.00000,80.00,160.00
17,1,6,0.00000,80.00,160.00
17,1,7,0.00000,,
18,1,4,0.00000,80.00,160.00
18,1,5,0.00000,80.00,160.00
18,1,6,0.00000,80.00,160.00
18,1,7,0.00000,,
19,1,4,0.00000,80.00,160.00
19,1,5,0.00000,80.00,160.00
19,1,6,0.00000,80.00,160.00
19,1,7,0.00000,,
20,1,4,0.00000,80.00,160.00
20,1,5,0.00000,80.00,160.00
20,1,6,0.00000,80.00,160.00
20,1,7,0.00000,,
