955,58
970,37
985,16
1000,21
1009,21
1018,154
1019,154
1029,154
1774,154
1794,154
1800,58
1804,154
1814,154
1815,37
1824,154
1834,16
1835,154
1851,21
1861,21
1871,21
1872,154
1881,154
1891,154
2630,154
2646,154
2655,58
2656,154
2666,154
2670,37
2676,154
2686,154
2687,16
2703,21
2713,21
2722,154
2723,154
2733,154
2743,154
2753,154
2762,154
2772,154
2782,154
2792,154
4836,938
4837,938
4838,938
4839,938
4840,434
4841,938
4842,938
4843,938
4844,938
4845,938
4846,938
4847,938
4848,938
4849,938
4850,938
4851,938
4852,938
4853,938
4854,625
4855,938
4856,625
4858,201
