944,58
959,37
979,16
996,21
1005,21
1015,21
1016,154
1025,154
1777,154
1791,154
1801,154
1804,58
1810,154
1819,37
1820,154
1830,154
1834,16
1840,154
1850,21
1860,21
1870,170
1871,10
2661,58
2676,37
2692,16
2707,21
2716,21
2726,21
2727,154
2736,154
2746,154
2756,154
2766,154
2776,154
2786,154
2796,154
2806,154
4173,892
4174,892
4175,892
4176,892
4177,892
4178,892
4179,892
4180,400
4181,892
4182,892
4183,892
4184,892
4185,892
4186,892
4187,892
4188,892
4189,892
4190,892
4191,892
4192,892
4193,892
4194,882
4195,41
