964,1,58
964,2,0
964,3,0
980,1,37
980,2,0
980,3,0
996,1,16
996,2,0
996,3,0
1011,1,21
1011,2,0
1011,3,0
1019,1,21
1019,2,0
1019,3,0
1028,1,154
1028,2,0
1028,3,0
1029,1,154
1029,2,0
1029,3,0
1039,1,154
1039,2,0
1039,3,0
1785,1,154
1785,2,0
1785,3,0
1812,1,0
1812,2,58
1812,3,0
1813,1,154
1813,2,0
1813,3,0
1822,1,154
1822,2,0
1822,3,0
1827,1,0
1827,2,37
1827,3,0
1832,1,154
1832,2,0
1832,3,0
1842,1,154
1842,2,0
1842,3,0
1852,1,154
1852,2,0
1852,3,0
1913,1,0
1913,2,16
1913,3,0
1928,1,0
1928,2,21
1928,3,0
1938,1,0
1938,2,21
1938,3,0
1948,1,0
1948,2,154
1948,3,0
2737,1,0
2737,2,0
2737,3,58
2752,1,0
2752,2,0
2752,3,37
2767,1,0
2767,2,0
2767,3,16
2782,1,0
2782,2,0
2782,3,21
2791,1,0
2791,2,0
2791,3,21
2799,1,0
2799,2,0
2799,3,154
2801,1,0
2801,2,0
2801,3,154
2811,1,0
2811,2,0
2811,3,154
2820,1,0
2820,2,0
2820,3,154
2830,1,0
2830,2,0
2830,3,154
2840,1,0
2840,2,0
2840,3,154
2850,1,0
2850,2,0
2850,3,154
2860,1,0
2860,2,0
2860,3,154
2870,1,0
2870,2,0
2870,3,154
3901,1,938
3901,2,0
3901,3,0
3902,1,0
3902,2,1808
3902,3,0
3903,1,0
3903,2,0
3903,3,2592
3904,1,938
3904,2,0
3904,3,0
3905,1,0
3905,2,1808
3905,3,0
3906,1,0
3906,2,0
3906,3,2592
3907,1,938
3907,2,0
3907,3,0
3908,1,0
3908,2,1808
3908,3,0
3909,1,0
3909,2,0
3909,3,1032
3910,1,938
3910,2,0
3910,3,0
3911,1,0
3911,2,803
3911,3,0
3913,1,938
3913,2,0
3913,3,0
3916,1,938
3916,2,0
3916,3,0
3919,1,625
3919,2,0
3919,3,0
