time,ueId,lcId,tpt,gfbr,mfbr
1,1,4,0.00000,80.00,120.00
1,1,5,0.00000,80.00,160.00
1,1,6,0.00000,80.00,200.00
1,1,7,0.00000,,
2,1,4,0.00000,80.00,120.00
2,1,5,0.00000,80.00,160.00
2,1,6,0.00000,80.00,200.00
2,1,7,0.00000,,
3,1,4,0.00000,80.00,120.00
3,1,5,0.00000,80.00,160.00
3,1,6,0.00000,80.00,200.00
3,1,7,0.00000,,
4,1,4,18.24000,80.00,120.00
4,1,5,18.24000,80.00,160.00
4,1,6,25.77600,80.00,200.00
4,1,7,16.67200,,
5,1,4,124.00800,80.00,120.00
5,1,5,158.60000,80.00,160.00
5,1,6,202.08800,80.00,200.00
5,1,7,228.16800,,
6,1,4,118.60000,80.00,120.00
6,1,5,158.76000,80.00,160.00
6,1,6,198.79200,80.00,200.00
6,1,7,223.88800,,
7,1,4,118.59200,80.00,120.00
7,1,5,158.74400,80.00,160.00
7,1,6,198.72000,80.00,200.00
7,1,7,220.38400,,
8,1,4,118.59200,80.00,120.00
8,1,5,158.72000,80.00,160.00
8,1,6,198.72000,80.00,200.00
8,1,7,220.44000,,
9,1,4,118.63200,80.00,120.00
9,1,5,158.69600,80.00,160.00
9,1,6,198.79200,80.00,200.00
9,1,7,220.64800,,
10,1,4,118.63200,80.00,120.00
10,1,5,158.76000,80.00,160.00
10,1,6,198.79200,80.00,200.00
10,1,7,220.55200,,
11,1,4,118.60000,80.00,120.00
11,1,5,158.76000,80.00,160.00
11,1,6,198.79200,80.00,200.00
11,1,7,218.82400,,
12,1,4,118.63200,80.00,120.00
12,1,5,158.74400,80.00,160.00
12,1,6,198.80800,80.00,200.00
12,1,7,218.69600,,
13,1,4,118.56000,80.00,120.00
13,1,5,158.72800,80.00,160.00
13,1,6,198.77600,80.00,200.00
13,1,7,218.82400,,
14,1,4,118.66400,80.00,120.00
14,1,5,158.72800,80.00,160.00
14,1,6,198.79200,80.00,200.00
14,1,7,215.16800,,
15,1,4,118.52000,80.00,120.00
15,1,5,158.70400,80.00,160.00
15,1,6,198.68000,80.00,200.00
15,1,7,220.29600,,
16,1,4,118.63200,80.00,120.00
16,1,5,158.72800,80.00,160.00
16,1,6,198.79200,80.00,200.00
16,1,7,220.55200,,
17,1,4,118.60000,80.00,120.00
17,1,5,158.72800,80.00,160.00
17,1,6,198.79200,80.00,200.00
17,1,7,219.28000,,
18,1,4,118.66400,80.00,120.00
18,1,5,158.69600,80.00,160.00
18,1,6,198.79200,80.00,200.00
18,1,7,223.76800,,
19,1,4,118.63200,80.00,120.00
19,1,5,158.76800,80.00,160.00
19,1,6,198.76800,80.00,200.00
19,1,7,220.56000,,
20,1,4,118.53600,80.00,120.00
20,1,5,120.35200,80.00,160.00
20,1,6,120.35200,80.00,200.00
20,1,7,120.35200,,
21,1,4,0.00000,80.00,120.00
21,1,5,0.00000,80.00,160.00
21,1,6,0.00000,80.00,200.00
21,1,7,0.00000,,
22,1,4,0.00000,80.00,120.00
22,1,5,0.00000,80.00,160.00
22,1,6,0.00000,80.00,200.00
22,1,7,0.00000,,
