8,1,1.68
9,1,3.42
10,1,0.00
11,1,0.00
12,1,0.00
13,1,0.00
14,1,0.00
15,1,0.00
15,2,1.68
16,1,0.00
16,2,8.21
17,1,0.00
17,2,0.00
18,1,0.00
18,2,0.00
19,1,0.00
19,2,0.00
20,1,0.00
20,2,0.00
21,1,0.00
21,2,0.00
22,1,0.00
22,2,14.59
22,3,1.98
23,1,0.00
23,2,0.00
23,3,22.50
24,1,0.00
24,2,0.00
24,3,0.00
25,1,0.00
25,2,0.00
25,3,0.00
26,1,0.00
26,2,0.00
26,3,0.00
27,1,0.00
27,2,0.00
27,3,0.00
28,1,0.00
28,2,0.00
28,3,0.00
29,1,0.00
29,2,0.00
29,3,0.00
30,1,0.00
30,2,0.00
30,3,0.00
31,1,0.00
31,2,0.00
31,3,0.00
32,1,0.00
32,2,0.00
32,3,0.00
33,1,0.00
33,2,0.00
33,3,0.00
34,1,953.36
34,2,982.24
34,3,982.24
35,1,1023.95
35,2,966.18
35,3,966.16
36,1,950.70
36,2,995.04
36,3,1023.97
37,1,1010.53
37,2,966.18
37,3,966.16
38,1,966.18
38,2,1023.95
38,3,995.07
39,1,1023.97
39,2,966.18
39,3,966.16
40,1,966.16
40,2,995.07
40,3,979.62
41,1,995.07
41,2,966.16
41,3,1010.53
42,1,966.14
42,2,1014.96
42,3,995.07
43,1,995.07
43,2,1004.02
43,3,966.16
44,1,99.50
44,2,70.62
44,3,99.50
45,1,0.00
45,2,0.00
45,3,0.00
46,1,0.00
46,2,0.00
46,3,0.00
47,1,0.00
47,2,0.00
47,3,0.00
48,1,0.00
48,2,0.00
48,3,0.00
49,1,0.00
49,2,0.00
49,3,0.00
50,1,0.00
50,2,0.00
50,3,0.00
51,1,0.00
51,2,0.00
51,3,0.00
52,1,0.00
52,2,0.00
52,3,0.00
53,1,0.00
53,2,0.00
53,3,0.00
54,1,0.00
54,2,0.00
54,3,0.00
55,1,0.00
55,2,0.00
55,3,0.00
56,1,0.00
56,2,0.00
56,3,0.00
57,1,0.00
57,2,0.00
57,3,0.00
58,1,0.00
58,2,0.00
58,3,0.00
59,1,0.00
59,2,0.00
59,3,0.00
60,1,0.00
60,2,0.00
60,3,0.00
61,1,0.00
61,2,0.00
61,3,0.00
62,1,0.00
62,2,0.00
62,3,0.00
63,1,0.00
63,2,0.00
63,3,0.00
64,1,0.00
64,2,0.00
64,3,0.00
65,1,0.00
65,2,0.00
65,3,0.00
